CustomerNumber;campaign_id;event_name;event_date;campaign_category;uniqe_id;emarsys_uid
3050487;20180506_0537_P0015-Email5-MT-Promo|e5;opened;2018-06-04 11:33:59;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;2c28b08b285627d2595c7ada5d16bdb72b9773fe;67pDqfPVzB
2582390;20180506_0801_P0017-CRM-WorldRemitApp_FXnotifications-EN;opened;2018-06-04 11:09:30;News.App.Misc.Mature.EN|mt-news;d0ad244cd0d81fa0af78cd014538524f0ff4a52e;ituhB38Rxu
3058502;20180506_0904_P0015-Email2-MT-GEN|e2;opened;2018-06-04 02:34:46;News.MT.Misc.Activation.Misc|ws-e2-mt-generic;fb555f33b48bd256292ff2834d613aa9cdcf7023;lKpfzDafz4
2859442;20180506_1127_P0016-New2a_Activation-Customer_Stories_2Email;opened;2018-06-05 00:18:17;News.MT.Misc.Activation.EN|mt-news;6599269e91b56017aeab790f07e687b39aabd137;Qj5GN2gzxr
2792142;20180506_1213_P0016-New2b_Activation-Customer_Reviews_Email5;opened;2018-06-04 05:59:52;News.MT.Misc.Activation.EN|mt-news;61b290b6c4c3195831810c09d1d3c8acf9f3fd7e;2CbJHSjIHp
3050584;20180506_1438_P0015-Email5-MT-Promo|e5;opened;2018-06-04 14:10:40;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;b4177ac80b1f122089e7dbae78bc43de8fe80b28;IuCLNmswW5
2946354;20180506_1906_P0015-Email4-Infographic|e4;opened;2018-06-04 19:00:53;News.MT.R-GW.CrossLifeCycle.EN|mt-news;98e3c99224065aca5d67e23817ff785d1cf0df93;6ouauRomr1
3030935;20180506_2106_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 02:58:29;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;c42317624a085af3d3e9161c936f5084020c7039;s6ArxYUqra
2906006;20180507_0405_P0016-New2b_Activation-Video_Email1Late;opened;2018-06-04 11:42:54;News.MT.Misc.Activation.EN|mt-news;4b6e671ee57eb5ae9686e379412d192f6eeb63dd;LXAWc9gmdx
2909710;20180507_0405_P0016-New2a_Activation-Video_1EmailLate;opened;2018-06-04 18:08:09;News.MT.Misc.Activation.EN|mt-news;8a959f0fa353d1a2dc040dd9fde6ba36b7645552;iYWdcZrj55
3059607;20180507_0903_P0015-Email2-MT-GEN|e2;opened;2018-06-04 16:29:52;News.MT.Misc.Activation.Misc|ws-e2-mt-generic;d2867a0bda292972816e7c2b07519442163343e6;YL1dTLkMCW
2909917;20180507_1109_P0016-New2a_Activation-Video_1EmailEarly;opened;2018-06-04 14:27:27;News.MT.Misc.Activation.EN|mt-news;56676e71f15c20b3c5ac1622fea0118097c25fe2;njNxWj47d8
2430445;20180507_1127_P0018-Nursery-E2-MT-EN-Unknown;opened;2018-06-04 09:35:07;Promo.RAF.Misc.Nursery.EN|Promo-RAF;60b85e85a879f5cb7c5c3c9e389463f3c28ad617;b5M0o9ljRF
2718743;20180507_1230_P0016old-Activation-Simple-MT-EN;opened;2018-06-04 22:14:42;Promo.MT.Misc.Activation.EN;b01194abae0e9bac07c4b687424209e3ac5cce69;k3o2kswNsc
3036045;20180507_1411_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 03:34:33;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;82933092e273f0e12535edaff8488e1b5799fd17;nUzt3VsJNY
3052805;20180507_1437_P0015-Email5-MT-Promo|e5;opened;2018-06-04 14:46:56;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;b2a795a177634162532b0a16650dac35b02d25f7;LsOy4BvqWy
2786205;20180508_0031_P0016-New2a_Activation-Countries_Email3;opened;2018-06-04 01:50:39;News.MT.Misc.Activation.EN|mt-news;91fcd826a1263990ed95d7387164e2844aaacb91;xplMlzQgTB
2724154;20180508_0638_P0016old-Activation-Simple-MT-FR;opened;2018-06-04 13:33:15;Promo.MT.Misc.Activation.FR;f5379573ac8f978a1d26bccb448631fe5c886806;i23oxOwbde
3062882;20180508_0904_P0015-Email2-MT-GEN|e2;opened;2018-06-04 19:06:56;News.MT.Misc.Activation.Misc|ws-e2-mt-generic;e414d8138b78bf3a073e16cf76272da723f79932;ioQNrdwgks
2748181;20180508_1119_P0016-New2b_Activation-FX_Email7;opened;2018-06-04 01:35:19;News.MT.Misc.Activation.EN|mt-news;e5fa5b7ce75b0f305660fc9f9e1c6fab98536b3e;q6mCG93RAx
2932848;20180508_1129_P0018-Nursery-E2-MT-EN-Unknown;opened;2018-06-04 07:28:05;Promo.RAF.Misc.Nursery.EN|Promo-RAF;499ee16ee7156df49021eecff3072ba6e0143840;G4OT9rRUCO
3041508;20180508_1406_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 22:30:53;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;24591a3047a3176a1d936c85be7210fcc16fa487;7aicREif02
3058502;20180508_1438_P0015-Email5-MT-Promo|e5;opened;2018-06-04 02:36:11;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;162d9ecc7c6b61f0a353a85639d2d5b8faa57f1c;lKpfzDafz4
3056528;20180508_1438_P0015-Email5-MT-Promo|e5;opened;2018-06-04 13:48:28;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;23169fec536ec5fecafe0670066089fe9faaa5b9;J1omldZUgo
2958851;20180509_0035_P0018-Nursery-E3-MT-EN-Likely;opened;2018-06-04 17:24:33;Promo.RAF.Misc.Nursery.EN|Promo-RAF;3481bd6c96c7d3e02d4068149eda8756925207ba;Xjnk6CMA5U
3062141;20180509_0536_P0015-Email5-MT-Promo|e5;opened;2018-06-04 22:24:24;Promo.AT.Misc.Activation.Misc|ws-e2-at-promo;cc6a62e50cc843d5563105b0b7d65479e4f608ad;2x0vbCaB3a
3070376;20180509_0904_P0015-Email2-MT-GEN|e2;opened;2018-06-04 15:33:00;News.MT.Misc.Activation.Misc|ws-e2-mt-generic;d20c70d38bd7a5a46a3e24b767acae69eb717777;I6njF26U9I
3070607;20180509_0904_P0015-Email2-MT-GEN|e2;opened;2018-06-05 00:02:54;News.MT.Misc.Activation.Misc|ws-e2-mt-generic;a1434bdb878709d12e2f647aa3b8e9616d6e6c67;hrK0u0z3zk
2891937;20180509_1015_P0016-New2b_Activation-Promo_Reminder_Email2;opened;2018-06-04 11:56:23;Promo.MT.Misc.Activation.EN|mt-promo;b59d7106d157899f575e19682460888ab7b552b1;4ziRByUXLv
;20180509_1302_P0023-Email2-03042018|e2;opened;2018-06-04 08:01:15;Promo.Benefits.Misc.Lead.En;;2hx5rR9Nfz
3045254;20180509_1407_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 06:58:03;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;c2a87832d1e124e4288497ba0c968f7a7b996149;saeiO2McYL
3046817;20180509_1407_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 22:10:35;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;5d40199291be7ded8508b72a5b42b7853b97cb8c;2uil8Ggsf2
2894306;20180509_1737_P0016-New2b_Activation-Promo_Reminder_Email2;opened;2018-06-04 06:10:56;Promo.MT.Misc.Activation.EN|mt-promo;e47c86f9861188aeaab55eeb0ac8eb9785c31c2c;KcD5O7bFbu
2960836;20180509_1908_P0015-Email4-Infographic|e4;opened;2018-06-04 21:50:15;News.MT.R-GW.CrossLifeCycle.EN|mt-news;52cf75c49439b6a77c72e20b263cf82bf40b46fb;rmXwI1GKAQ
3046605;20180509_2107_P0015-Email3-MT-GenericFX|e3;opened;2018-06-04 22:42:08;FX.MT.Misc.Activation.Misc|ws-e3-mt-generic;126019833a5485ebd52b2f4d2e6e2e2f5e47300a;uS3nsELxYB
